Year,Crop,CropYear,Cover,Trt,CC,DPP,CC.win,Timing,Split,Herb,Plot,Obs_ID,Block,YieldData,YieldBuac,Rye.kgha,WeedUnit,UTC.tot.density.rep,UTC.tot.density.siteyear,AMACH_density,CHEAL_density,ERICA_density,BL_density,GRASS_density,SEDGE_density,Total_density,AMACH_biomass(g),CHEAL_biomass(g),ERICA_biomass(g),BL_biomass(g),GRASS_biomass(g),SEDGE_biomass(g),NoCov_Bl,NoCov_grass,NoCov_ERICA,brown.tot.density,brown.bl.density
2022,Corn,Corn22,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,401,obs105,B4,no,na,0,2sqm,74,68,0,6,41,10,17,60,74,0,0.204,22.08,1.37,1.84,0,10,17,6,56,23
2022,Corn,Corn22,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,401,obs106,B4,yes,139,0,2sqm,74,68,0,2,1,6,30,12,39,0,2.43,0.062,2.41,2.87,0,6,30,2,41,1
2022,Corn,Corn22,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,402,obs107,B4,no,na,6285,2sqm,74,68,1,6,3,1,36,14,47,0.027,0.054,0.159,0.072,1.2,0.086,10,17,6,56,23
2022,Corn,Corn22,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,402,obs108,B4,yes,138.8,6285,2sqm,74,68,1,1,0,0,16,5,18,0.006,0.002,0,0,0.6,0,6,30,2,41,1
2022,Corn,Corn22,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,403,obs109,B4,no,na,1368,2sqm,74,68,11,4,3,23,15,44,56,4.19,0.72,1.99,3.75,3.09,0,10,17,6,56,23
2022,Corn,Corn22,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,403,obs110,B4,yes,na,1368,2sqm,74,68,0,0,0,1,40,4,41,0,0,0,0.004,2.72,0,6,30,2,41,1
2022,Corn,Corn22,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,404,obs111,B4,no,na,2748,2sqm,74,68,2,0,13,7,40,25,62,0.132,0,0.95,0.144,4.4,0,10,17,6,56,23
2022,Corn,Corn22,Cereal Rye,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,404,obs112,B4,yes,na,2748,2sqm,74,68,1,0,0,0,17,4,18,0.01,0,0,0,2.46,0,6,30,2,41,1
2022,Corn,Corn22,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,501,obs113,B5,no,na,1158,2sqm,92,68,12,64,7,4,10,90,97,1.55,8.6,5.74,1,4.21,0,25,36,20,97,4
2022,Corn,Corn22,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,501,obs114,B5,yes,136.5,1158,2sqm,92,68,2,3,0,0,3,8,8,0.005,0.038,0,0,0.202,0,0,14,0,8,0
2022,Corn,Corn22,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,502,obs115,B5,no,na,5638,2sqm,92,68,1,3,1,4,38,12,47,0.081,0.034,0.016,0.054,1.69,0.64,25,36,20,97,4
2022,Corn,Corn22,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,502,obs116,B5,yes,119.3,5638,2sqm,92,68,0,1,0,0,9,4,10,0,0.002,0,0,0.15,0,0,14,0,8,0
2022,Corn,Corn22,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,503,obs117,B5,no,na,0,2sqm,92,68,5,20,6,25,36,59,92,1.12,7.02,16.61,2.79,7.28,0,25,36,20,97,4
2022,Corn,Corn22,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,503,obs118,B5,yes,91.8,0,2sqm,92,68,0,0,0,0,14,3,14,0,0,0,0,2.8,0,0,14,0,8,0
2022,Corn,Corn22,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,504,obs119,B5,no,na,2678,2sqm,92,68,9,10,5,4,23,31,51,1.5,1.12,1.39,0.063,4.96,0,25,36,20,97,4
2022,Corn,Corn22,Cereal Rye,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,504,obs120,B5,yes,na,2678,2sqm,92,68,1,0,0,0,15,4,16,0.028,0,0,0,1.23,0,0,14,0,8,0
